Library_number,Run_ID,# of Spots,# of Bases (M),Size,Published,Reads_per_lib,Sample_name,Library_number,Run_ID,# of Spots,# of Bases (M),Size,Published,Reads_per_lib
1,SRR903051,9876512,987.7,684.6Mb,5/14/2014,,poly_tumor,4,SRR903208,7774746,777.5,535.4Mb,5/14/2014,
1,SRR903055,9855752,985.6,683.6Mb,5/14/2014,,poly_tumor,4,SRR903203,7755318,775.5,537.7Mb,5/14/2014,
1,SRR903056,9850883,985.1,678.3Mb,5/14/2014,,poly_tumor,4,SRR903207,7744191,774.4,537.5Mb,5/14/2014,
1,SRR903053,9803483,980.3,680.8Mb,5/14/2014,,poly_tumor,4,SRR903205,7705926,770.6,535.4Mb,5/14/2014,
1,SRR903050,9796856,979.7,677.8Mb,5/14/2014,,poly_tumor,4,SRR903202,7705627,770.6,533.3Mb,5/14/2014,
1,SRR903054,9736938,973.7,674Mb,5/14/2014,,poly_tumor,4,SRR903206,7655825,765.6,530.1Mb,5/14/2014,
1,SRR903057,9710109,971,677Mb,5/14/2014,,poly_tumor,4,SRR903209,7631512,763.2,531.5Mb,5/14/2014,
1,SRR903052,9348017,934.8,648.1Mb,5/14/2014,,poly_tumor,4,SRR903204,7316945,731.7,507.1Mb,5/14/2014,
,,,,,,77978550,,,,,,,,61290090
4,SRR903075,8207889,820.8,568.1Mb,5/14/2014,,poly_tumor,2,SRR903192,6917363,691.7,476Mb,5/14/2014,
4,SRR903080,8194386,819.4,563.4Mb,5/14/2014,,poly_tumor,2,SRR903187,6867440,686.7,475Mb,5/14/2014,
4,SRR903079,8176678,817.7,566.5Mb,5/14/2014,,poly_tumor,2,SRR903191,6856114,685.6,475Mb,5/14/2014,
4,SRR903077,8140408,814,564.5Mb,5/14/2014,,poly_tumor,2,SRR903189,6805010,680.5,471.7Mb,5/14/2014,
4,SRR903074,8118893,811.9,560.9Mb,5/14/2014,,poly_tumor,2,SRR903186,6781285,678.1,468.3Mb,5/14/2014,
4,SRR903078,8065482,806.5,557.6Mb,5/14/2014,,poly_tumor,2,SRR903190,6771269,677.1,468Mb,5/14/2014,
4,SRR903081,8022452,802.2,559Mb,5/14/2014,,poly_tumor,2,SRR903193,6676123,667.6,464.1Mb,5/14/2014,
4,SRR903076,7759499,775.9,537.3Mb,5/14/2014,,poly_tumor,2,SRR903188,6495910,649.6,449Mb,5/14/2014,
,,,,,,64685687,,,,,,,,54170514
2,SRR903064,6833243,683.3,470.6Mb,5/14/2014,,poly_tumor,3,SRR903200,6442000,644.2,439.3Mb,5/14/2014,
2,SRR903059,6810337,681,471.8Mb,5/14/2014,,poly_tumor,3,SRR903195,6429489,642.9,441.6Mb,5/14/2014,
2,SRR903063,6781003,678.1,470.2Mb,5/14/2014,,poly_tumor,3,SRR903199,6415994,641.6,441.3Mb,5/14/2014,
2,SRR903061,6740574,674.1,467.9Mb,5/14/2014,,poly_tumor,3,SRR903197,6396578,639.7,440.5Mb,5/14/2014,
2,SRR903058,6717056,671.7,464.4Mb,5/14/2014,,poly_tumor,3,SRR903194,6383188,638.3,437.6Mb,5/14/2014,
2,SRR903062,6690356,669,462.8Mb,5/14/2014,,poly_tumor,3,SRR903198,6339008,633.9,434.8Mb,5/14/2014,
2,SRR903065,6685211,668.5,465.4Mb,5/14/2014,,poly_tumor,3,SRR903201,6315595,631.6,436.3Mb,5/14/2014,
2,SRR903060,6438692,643.9,446.2Mb,5/14/2014,,poly_tumor,3,SRR903196,6088486,608.8,417.9Mb,5/14/2014,
,,,,,,53696472,,,,,,,,50810338
3,SRR903072,5935308,593.5,409.1Mb,5/14/2014,,poly_tumor,1,SRR903184,6074762,607.5,417Mb,5/14/2014,
3,SRR903067,5904603,590.5,409.6Mb,5/14/2014,,poly_tumor,1,SRR903179,6005229,600.5,414.7Mb,5/14/2014,
3,SRR903071,5887331,588.7,408.7Mb,5/14/2014,,poly_tumor,1,SRR903183,5971265,597.1,412.9Mb,5/14/2014,
3,SRR903066,5856700,585.7,405.6Mb,5/14/2014,,poly_tumor,1,SRR903181,5952845,595.3,412Mb,5/14/2014,
3,SRR903069,5848138,584.8,406.5Mb,5/14/2014,,poly_tumor,1,SRR903178,5894400,589.4,406.3Mb,5/14/2014,
3,SRR903070,5810567,581.1,402.6Mb,5/14/2014,,poly_tumor,1,SRR903182,5889534,589,406.1Mb,5/14/2014,
3,SRR903073,5786496,578.6,404.6Mb,5/14/2014,,poly_tumor,1,SRR903185,5777834,577.8,400.5Mb,5/14/2014,
3,SRR903068,5584983,558.5,387.7Mb,5/14/2014,,poly_tumor,1,SRR903180,5688793,568.9,392.2Mb,5/14/2014,
,,,,,,46614126,,,,,,,,47254662

